"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity test","Test1","FAILURE","2019-01-04T14:31:44.121Z[Europe/London]","0.0","3.44"
"Serenity test","Test4","ERROR","2019-01-04T14:31:52.477Z[Europe/London]","0.0","1.69"
